"Facility Name",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Blue Summit","Blue Summit","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Undisclosed PPA","Vernon TX","135.4 MW",80,2012,"GE Energy","In Service","34.3047°, -99.3769°"
"Bluegrass Ridge Wind Energy Project","Bluegrass Ridge Wind Energy Project","Commercial Scale Wind",,"Wind Capital Group/John Deere Capital","Associated Electric Cooperative","Gentry county MO","56.7 MW",27,2007,"Suzlon Energy Company","In Service","40.0925°, -94.5142°"
Bluestem,Bluestem,,,,,"Beaver County, OK","198 MW",60,2016,Vestas,,"36.5500°, -100.5650°"
"Bluewater Wind New Jersey","Bluewater Wind New Jersey","Commercial Scale Wind",,"NRG Bluewater Wind",,"Offshore from Atlantic Beach NJ","348 MW",116,,Undetermined,Proposed,"39.1800°, -74.1400°"
"Bluewater Wind Rhode Island","Bluewater Wind Rhode Island","Offshore Wind","NRG Bluewater Wind","NRG Bluewater Wind",,"Atlantic Ocean RI","450 MW",,,,Proposed,"41.3569°, -71.1519°"
"Bluff Point","Bluff Point",,,,,"Randolph County, IN","119.7 MW",57,2017,"GE Wind",,"40.3061°, -84.9122°"
"Bobcat Bluff","Bobcat Bluff","Commercial Scale Wind","EDF Renewable Energy","Element Power","Merchant (ERCOT)","Windthorst TX","150 MW",100,2012,"GE Energy","In Service","33.5036°, -98.5786°"
"Bolton Valley Resort","Bolton Valley Resort","Definition:Small Scale Wind",,,,"Bolton Valley VT","0.1 MW",1,2009,"Northern Power Systems","In Service","44.4144°, -72.8347°"
"Boondocks Truck Stop Wind Farm","Boondocks Truck Stop","Definition:Small Scale Wind","Boondocks Truck Stop",,"Boondocks Truck Stop",IA,"0.07 MW",1,2006,,"In Service","42.4703°, -93.5625°"
"Border Winds Project","Border Winds Project",,,,,"Rolette County, ND","150 MW",75,2015,Vestas,,"48.9847°, -99.6822°"
"Bowling Green Municipal","Bowling Green Municipal",,,,,"Wood County, OH","3.6 MW",2,2003,Vestas,,"41.3764°, -83.7411°"
Boyce,Boyce,"Definition:Small Scale Wind",Boyce,,Boyce,"Alliance OH","0.1 MW",1,2010,"Northern Power Systems","In Service","40.8672°, -81.0497°"
"Brady Wind I","Brady Wind I",,,,,"Stark County, ND","12.53 MW",7,2016,"GE Wind",,"46.6528°, -102.6781°"
"Brady Wind II","Brady Wind II",,,,,"Hettinger County, ND","136.5 MW",65,2016,"GE Wind",,"46.6172°, -102.8892°"
"Brahms Wind, LLC","Brahms Wind, LLC",,,,,"Curry County, NM","19.8 MW",12,2014,Vestas,,"34.7478°, -103.2739°"
"Bravo Wind","Bravo Wind","Commercial Scale Wind",,"Bravo Wind LLC",,"Cassia County ID","29.9 MW",,,,Proposed,"42.4603°, -113.4744°"
"Brazoria Offshore","Brazoria Offshore","Offshore Wind","Coastal Point Energy LLC","Coastal Point Energy LLC",,"Gulf of Mexico TX","500 MW",,,,Proposed,"28.7639°, -95.3300°"
"Brazos Wind Ranch","Brazos Wind Ranch",,,,,"Borden County, TX","61 MW",61,2003,Mitsubishi,,"32.9472°, -101.2792°"
"Brazos Wind Ranch Wind Farm","Brazos Wind Ranch","Commercial Scale Wind","Shell Wind Energy/Mitsui","Cielo Wind Power/Orion Energy","Green Mountain Power/ TXU","Near Fluvanna TX","160 MW",160,2003,Mitsubishi,"In Service","32.9492°, -101.1444°"
Breckinridge,Breckinridge,,,,,"Garfield County, OK","98.1 MW",57,2015,"GE Wind",,"36.4450°, -97.7253°"
"Breezy Bucks I","Breezy Bucks I","Commercial Scale Wind","Dave Norgaard / John Deere Wind Energy","Dave Norgaard / John Deere Wind Energy","Xcel Energy","Lake Benton MN","1.25 MW",1.25,2006,"Suzlon Energy Company","In Service","44.3197°, -96.3317°"
"Breezy Bucks II","Breezy Bucks II","Commercial Scale Wind","Breezy Bucks II LLC / John Deere Wind Energy","Breezy Bucks II LLC / John Deere Wind Energy","Xcel Energy","Lake Benton MN","1.25 MW",1.25,2006,"Suzlon Energy Company","In Service","44.3144°, -96.3317°"
"Brigantine OffshoreMW Phase 1","Brigantine OffshoreMW Phase 1","Offshore Wind",OffshoreMW,"Offshore MW",,"Atlantic Ocean NJ","350 MW",,,,Proposed,"39.5839°, -73.7700°"
"Brigantine OffshoreMW Phase 2","Brigantine OffshoreMW Phase 2","Offshore Wind",OffshoreMW,OffshoreMW,,"Atlantic Ocean NJ","350 MW",,,,Proposed,"39.3481°, -73.9689°"
Briscoe,Briscoe,,,,,"Briscoe County, TX","150 MW",81,2015,"GE Wind",,"34.4158°, -101.3022°"
"Broadview Energy JN LLC","Broadview Energy JN LLC",,,,,"Deaf Smith County, TX","82.8 MW",36,2017,Siemens,,"34.8014°, -102.9964°"
"Broadview Energy KW LLC","Broadview Energy KW LLC",,,,,"Curry County, NM","142.6 MW",62,2017,Siemens,,"34.7286°, -103.0933°"
"Broken Bow II","Broken Bow II",,,,,"Custer County, NE","75 MW",43,2014,"GE Wind",,"41.5419°, -99.5181°"
"Broken Bow Wind Farm","Broken Bow Wind Farm","Commercial Scale Wind","Midwest Wind Energy","Midwest Wind Energy","Nebraska Public Power District","Custer County, Nebraska","80 MW",50,2012,"GE Energy","In Service","41.4000°, -99.5733°"
"Brookfield Tehachapi 1 (CCDLP)","Brookfield Tehachapi 1 (CCDLP)","Commercial Scale Wind","Brookfield Renewable Energy Group","Coram Energy Group","Pacific Gas & Electric","Tehachapi, California","102 MW",34,2012,Vestas,"In Service","35.0581°, -118.3225°"
"Brookfield Tehachapi 2","Brookfield Tehachapi 2 (Alta VIII)","Commercial Scale Wind","Brookfield Renewable Energy Group","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","150 MW",50,2012,Vestas,"In Service","35.0192°, -118.3031°"
"Brookfield Tehachapi 3","Brookfield Tehachapi 3",,,,,"Kern County, CA","15 MW",10,2004,"GE Wind",,"35.0575°, -118.3219°"
"Brookfield Wind Park","Brookfield Wind Park",,,,,"Huron County, MI","74.8 MW",44,2014,"GE Wind",,"43.7086°, -83.3483°"
"Brown County Wind","Brown County Wind","Commercial Scale Wind","Adams Electric Cooperative","Adams Electric Cooperative","Adams Electric Cooperative","Mt. Sterling IL","1.5 MW",1,2011,VENSYS,"In Service","39.9733°, -90.6994°"
"Bruenning's Breeze","Bruenning's Breeze",,,,,"Willacy County, TX","228 MW",76,2017,Nordex,,"26.5211°, -97.6733°"
Buckeye,Buckeye,,,,,"Ellis County, KS","200 MW",112,2015,"GE Wind",,"38.9756°, -99.4442°"
Buckthorn,Buckthorn,,,,,"Erath County, TX","89.7 MW",26,2017,Vestas,,"32.3742°, -98.3817°"
"Buena Vista Wind Farm Repower","Buena Vista","Commercial Scale Wind","Babcock & Brown","Babcock & Brown","Pacific Gas & Electric Co","Altamont Pass CA","38 MW",38,2006,Mitsubishi,"In Service","37.7347°, -121.6519°"
"Buffalo Bear Wind Farm","Buffalo Bear","Commercial Scale Wind","Edison Mission Group","Edison Mission Group","Western Farmers Electric Coop",OK,"18.9 MW",9,2008,"Suzlon Energy Company","In Service","36.5736°, -99.5733°"
"Buffalo Dunes","Buffalo Dunes",,,,,"Grant County, KS","249.75 MW",135,2013,"GE Wind",,"37.6444°, -101.0928°"
"Buffalo Gap 3 Wind Farm","Buffalo Gap 3","Commercial Scale Wind","AES Wind Generation","AES Wind Generation","Direct Energy",TX,"170.2 MW",74,2008,Siemens,"In Service","32.3106°, -100.1492°"
"Buffalo Gap II Wind Farm","Buffalo Gap II","Commercial Scale Wind",,"AES Corp.","Direct Energy","Taylor County TX","232.5 MW",155,2007,"GE Energy","In Service","32.3106°, -100.1492°"
"Buffalo Gap Wind Farm","Buffalo Gap","Commercial Scale Wind",AES,AES,"Direct Energy",TX,"120.6 MW",67,2005,Vestas,"In Service","32.3106°, -100.1492°"
"Buffalo Mountain Wind Energy Center I","Buffalo Mountain Wind Energy Center","Commercial Scale Wind","Tennessee Valley Authority",EnXco,"Tennessee Valley Authority","Anderson County TN","1.98 MW",3,2000,Vestas,"In Service","36.1158°, -84.3336°"
"Buffalo Mountain Wind Energy Center II","Buffalo Mountain Wind Energy Center","Commercial Scale Wind",Invenergy,Invenergy,"Tennessee Valley Authority","Anderson County TN","27 MW",15,2004,Vestas,"In Service","36.1158°, -84.3336°"
"Buffalo Ridge II Wind Power Project","Buffalo Ridge II Wind Power Project","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",,"Brookings and Deuel counties SD","210 MW",105,2010,Gamesa,"In Service","44.5575°, -96.7428°"
"Buffalo Ridge Wind Farm","Buffalo Ridge","Commercial Scale Wind","Iberdrola Renewables","Kenetech Windpower","Xcel Energy","Buffalo Ridge MN","25.99 MW",73,1994,Kenetech,"In Service","44.0039°, -96.0525°"
"Buffalo Ridge Wind Farm I","Buffalo Ridge Wind Farm I","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",NIPSCO,"Brookings County SD","50.4 MW",24,2009,"Suzlon Energy Company","In Service","44.4228°, -96.8350°"
"Bull Creek Wind Farm","Bull Creek Wind Farm","Commercial Scale Wind",Eurus,Eurus,Market,"Near Gail TX","180 MW",180,2008,Mitsubishi,"In Service","32.9331°, -101.5844°"
"Bull Hill","Bull Hill","Commercial Scale Wind","First Wind","First Wind",NSTAR,"Hancock County ME","34.2 MW",19,2012,Vestas,"In Service","44.7231°, -68.1708°"
Bulldog,Bulldog,"Community Wind","Bulldog LLC",,"Farmers' Cooperative of Greenfield","Greenfield IA","1.5 MW",1,2010,"GE Energy","In Service","41.2272°, -94.4350°"
"Burco Farm and Feed","Burco Farm and Feed","Definition:Small Scale Wind","Burco Farm and Feed",,"Burco Farm and Feed","Independence IA","0.1 MW",1,2010,"Northern Power Systems","In Service","42.5639°, -91.8875°"
"Bureau Valley School District Wind Farm","Bureau Valley School District","Community Wind","Bureau Valley School District","Engineers Architects Professional Corp.","Bureau Valley School District","Bureau Valley IL","0.66 MW",1,2004,Vestas,"In Service","41.4661°, -89.6781°"
"Burley Butte","Burley Butte","Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Cassia County ID","19.5 MW",13,2011,"GE Energy","In Service","42.4644°, -113.8950°"
"Busch Ranch","Busch Ranch","Commercial Scale Wind","Black Hills Colorado Electric (50%) - Altagas (50%)","EUI and Black Hills Colorado Electric","Black Hills Energy","Pueblo CO","28.8 MW",16,2012,Vestas,"In Service","37.7819°, -104.4719°"
"Butler Ridge Wind Farm","Butler Ridge Wind Farm","Commercial Scale Wind","Babcock & Brown","Midwest Wind Energy/Eurus",WPPI,"Dodge County WI","54 MW",36,2009,"GE Energy","In Service","43.3886°, -88.4672°"
"Byers Auto","Byers Auto","Definition:Small Scale Wind","Byers Auto",,"Byers Auto","Columbus OH","0.1 MW",1,2010,"Northern Power Systems","In Service","40.1106°, -83.0822°"
CCRTA,CCRTA,"Definition:Small Scale Wind",CCRTA,,CCRTA,"Dennis MA","0.1 MW",1,2010,"Northern Power Systems","In Service","41.6900°, -70.1444°"
"CWES I Wind Farm","CWES I","Commercial Scale Wind",SeaWest,SeaWest,"Pacific Gas & Electric Co","Altamont Pass CA","1.08 MW",18,,Enertech,"In Service","37.7347°, -121.6519°"
"CWES II Wind Farm","CWES II","Commercial Scale Wind",SeaWest,SeaWest,"Pacific Gas & Electric Co","Altamont Pass CA","0.24 MW",6,,Enertech,"In Service","37.7347°, -121.6519°"
"Cabazon Wind Farm I",Cabazon,"Commercial Scale Wind","GlidePath Power Solutions LLC","Enron Wind Corporation","City of Riverside","Cabazon, California","39.75 MW",53,1999,Zond,"In Service","33.9094°, -116.7339°"
"Cabazon Wind Farm II",Cabazon,"Commercial Scale Wind","Goldman Sachs/Shell","Canon Power Corp.","L.A. Department of Water Resources","San Gorgonio CA","40.92 MW",62,2002,Vestas,"In Service","33.9094°, -116.7339°"
"California Ridge","California Ridge","Commercial Scale Wind",Ivenergy,Ivenergy,"Tennessee Valley Authority","Fithian IL","214.4 MW",134,2012,"GE Energy","In Service","40.1972°, -87.8269°"
"California State Prison Los Angeles County","California State Prison Los Angeles County",,,,,"Los Angeles County, CA","1.85 MW",1,2017,"GE Wind",,"34.6919°, -118.2217°"
"Callahan Divide Wind Energy Center","Callahan Divide Wind Energy Center","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Austin Energy","Taylor County TX","114 MW",76,2005,"GE Energy","In Service","32.3106°, -100.1492°"
"Calverton Wind Farm",Calverton,"Definition:Small Scale Wind","Long Island Power Authority","Long Island Power Authority","Long Island Power Authority","Calverton NY","0.05 MW",1,2002,"Atlantic Orient Co.","In Service","40.9281°, -72.7750°"
"Calwind II CEC Wind Farm","Calwind II CEC","Commercial Scale Wind",,"CalWind Resources","Southern California Edison Co","Tehachapi, California","8.58 MW",13,2003,Vestas,"In Service","35.0767°, -118.2553°"
"Calwind Resources Wind Farm","Calwind Resources","Commercial Scale Wind",,"CalWind Resources","Southern California Edison Co","Tehachapi, California","14.11 MW",217,,Bonus,"In Service","35.0767°, -118.2553°"
Camelot,Camelot,"Commercial Scale Wind","Camelot Wind LLC","Atlantic Design",Net-metered,"Plymouth MA","1.5 MW",1,2012,Goldwind,"In Service","41.9256°, -70.6444°"
Cameron,Cameron,,,,,"Cameron County, TX","165 MW",55,2015,Acciona,,"26.1744°, -97.5222°"
"Cameron Ridge Wind Farm","Cameron Ridge","Commercial Scale Wind",Caithness,"NextEra Energy Resources/M&N Wind Power/RES Americas","Southern California Edison Co","Tehachapi, California","56 MW",80,1999,"NEG Micon","In Service","35.0767°, -118.2553°"
"Camp Grove Wind Farm","Camp Grove Wind Farm","Commercial Scale Wind","OEG (Orion Energy Group)","OEG (Orion Energy Group)","AEP-Appalachian Power","Marshall & Stark Counties IL","150 MW",100,2007,"GE Energy","In Service","41.0889°, -89.6567°"
"Camp Reed","Camp Reed","Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Elmore County ID","22.5 MW",15,2011,"GE Energy","In Service","42.4439°, -114.3208°"
"Camp Springs II (1Q08) Wind Farm","Camp Springs II (1Q08)","Commercial Scale Wind",Invenergy,Invenergy,,TX,"88.5 MW",59,2008,"GE Energy","In Service","32.7492°, -100.7311°"
"Camp Springs II (4Q07) Wind Farm","Camp Springs II (4Q07)","Commercial Scale Wind",Invenergy,Invenergy,,TX,"31.5 MW",21,2007,"GE Energy","In Service","32.7308°, -100.7358°"
"Camp Springs Wind Farm","Camp Springs","Commercial Scale Wind",Invenergy,Invenergy,,TX,"130.5 MW",87,2007,"GE Energy","In Service","32.7394°, -100.7414°"
"Camp William Utah National Guard Wind Farm I","Camp William Utah National Guard","Community Wind","Camp William Utah National Guard",,"Camp William Utah National Guard","Riverton UT","0.23 MW",1,2000,"NEG Micon","In Service","40.4397°, -111.9192°"
"Camp William Utah National Guard Wind Farm II","Camp William Utah National Guard","Community Wind","Camp William Utah National Guard",,"Camp William Utah National Guard","Riverton UT","0.66 MW",1,2005,Vestas,"In Service","40.4397°, -111.9192°"
"Campbell County","Campbell County",,,,,"Campbell County, SD","95 MW",55,2015,"GE Wind",,"45.8236°, -100.2889°"
"Campbell Hill Wind Farm","Campbell Hill","Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",PacifiCorp,"Northeast of Casper WY","99 MW",66,2009,"GE Energy","In Service","42.9989°, -106.0214°"
"Canadian Hills (Mitsubishi)","Canadian Hills (Mitsubishi)","Commercial Scale Wind","Atlantic Power Corp","Apex Wind Energy","Oklahoma Municipal Power Authority / SWEPCO","Calumet OK","148.8 MW",62,2012,Mitsubishi,"In Service","35.6975°, -98.2044°"
"Canadian Hills (Repower)","Canadian Hills (Repower)","Commercial Scale Wind","Atlantic Power Corp","Apex Wind Energy","Oklahoma Municipal Power Authority / SWEPCO","Calumet OK","149.65 MW",73,2012,REpower,"In Service","35.6622°, -98.1283°"
"Caney River","Caney River","Commercial Scale Wind","Enel Green Power North America Inc.","Tradewind Energy LLC","Tennessee Valley Authority","Elk County KS","199.8 MW",111,2012,Vestas,"In Service","37.4483°, -96.4250°"
"Cannon (Various)","Cannon (Various)","Commercial Scale Wind",,NA,"Southern California Edison Co","Tehachapi, California","4.54 MW",42,,"Micon Vestas","In Service","35.1317°, -118.4511°"
"Cannon I","Cannon I",,,,,"Bremer County, IA","0.95 MW",1,2009,"NEG Micon",,"42.7328°, -92.3689°"
"Cannon I Wind Farm","Cannon I","Commercial Scale Wind",,NA,"Southern California Edison Co","Tehachapi, California","0.86 MW",8,,Micon,"In Service","35.1317°, -118.4511°"
"Cannon II","Cannon II",,,,,"Bremer County, IA","0.9 MW",1,2012,EWT,,"42.7356°, -92.3681°"
"Cannon II Wind Farm","Cannon II","Commercial Scale Wind",,,"Southern California Edison Co","Tehachapi, California","12.6 MW",28,,Vestas,"In Service","35.1317°, -118.4511°"
"Canova Wind Farm",Canova,"Community Wind","City of Howard","City of Howard","City of Howard","Near Carthage SD","0.11 MW",1,2002,Micon,"In Service","44.1689°, -97.7158°"
"Canton Mountain","Canton Mountain",,,,,"Oxford County, ME","22.8 MW",8,2017,"GE Wind",,"44.5186°, -70.3011°"
"Cape Cod Regional Transit Authority","Cape Cod Regional Transit Authority","Definition:Small Scale Wind","Sustainable Energy Development",,"Cape Cod Regional Transit Authority","Hyannis MA","0.1 MW",1,2010,"Northern Power Systems","In Service","41.6900°, -70.1444°"
"Cape Wind Project","Cape Wind","Offshore wind","Cape Wind","Cape Wind Associates","National Grid","Nantucket Sound, MA","468 MW",130,,Siemens,Proposed,"41.5017°, -70.3183°"
"Capricorn Ridge","Capricorn Ridge",,,,,"Sterling County, TX","42 MW",28,2017,"GE Wind",,"31.8864°, -100.9831°"
"Capricorn Ridge (GE Energy) Wind Farm","Capricorn Ridge (GE Energy)","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,TX,"214.5 MW",143,2007,"GE Energy","In Service","31.8381°, -100.9239°"
"Capricorn Ridge (Siemens) Wind Farm","Capricorn Ridge (Siemens)","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,TX,"149.5 MW",65,2007,Siemens,"In Service","31.8442°, -100.9325°"
"Capricorn Ridge Expansion (1Q08) Wind Farm","Capricorn Ridge Expansion (1Q08)","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,TX,"142.5 MW",95,2008,"GE Energy","In Service","31.8381°, -100.9239°"
"Capricorn Ridge Expansion (2Q08) Wind Farm","Capricorn Ridge Expansion (2Q08)","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,TX,"156 MW",104,2008,"GE Energy","In Service","31.8381°, -100.9239°"
"Caprock Wind Ranch","Caprock Wind Ranch","Commercial Scale Wind","Babcock & Brown","Cielo Wind Power","Xcel Energy","Quay County NM","60 MW",60,2004,Mitsubishi,"In Service","35.0436°, -103.5833°"
"Caprock Wind Ranch phase II","Caprock Wind Ranch phase II","Commercial Scale Wind","Babcock & Brown","Cielo Wind Power","Xcel Energy","Quay County NM","20 MW",20,2005,Mitsubishi,"In Service","35.0436°, -103.5833°"
"Carleton College II","Carleton College II","Commercial Scale Wind","Carleton College","Carleton College","Xcel Energy","Northfield MN","1.6 MW",1,2011,"GE Energy","In Service","44.4689°, -93.1278°"
"Carleton College Wind Farm","Carleton College","Community Wind","Carleton College","Carleton College","Carleton College","Northfield MN","1.65 MW",1,2004,"NEG Micon","In Service","44.4472°, -93.1592°"
Carousel,Carousel,,,,,"Kit Carson County, CO","149.6 MW",88,2015,"GE Wind",,"39.3542°, -102.0986°"
